#,Name,Start,End,Length,Color
R1,count-in,1.1.00,2.1.00,1.0.00,FFFF00
R2,intro 3,2.1.00,5.1.00,3.0.00,00FF00
R3,verse 2x4,5.1.00,14.1.00,9.0.00,FF8000
R4,Chorus1 2,14.1.00,19.1.00,5.0.00,FF0000
R5,Verse2 2x4,19.1.00,28.1.00,9.0.00,FF8000
R6,Chorus2 1x4,28.1.00,33.1.00,5.0.00,FF0000
R7,chorus 2 1x3,33.1.00,36.1.00,3.0.00,FF0000
R8,2+4 Bridge 4x6,36.1.00,43.1.00,7.0.00,00FFFF
R9,9/4 Solo 6,43.1.00,50.1.00,7.0.00,8000FF
R10,Sospeso 3,50.1.00,53.1.00,3.0.00,
R11,Chorus3 2x4,53.1.00,62.1.00,9.0.00,FF0000
R12,7x6,62.1.00,76.1.00,14.0.00,00FFFF
R13,9/4 End,76.1.00,78.1.00,2.0.00,8000FF
