#,Name,Start,End,Length,Color
M1,pre-HH,1.1.00,,,
M2,Intro,2.1.00,,,
M3,2/4 Intro,5.1.00,,,
M4,Verse 1-1,6.1.00,,,
M5,Verse 1-2,10.1.00,,,
M6,2/4 fill,14.1.00,,,
M7,Chorus,15.1.00,,,
M8,2/4 Pause,19.1.00,,,
M9,Verse 2-1,20.1.00,,,
M10,Verse 2-2,24.1.00,,,
M11,2/4 Fill,28.1.00,,,
M12,Chorus 2-1,29.1.00,,,
M13,Chorus 2-2,33.1.00,,,
M14,pre bridge,36.1.00,,,
M15,6/4 Bridge-1,37.1.00,,,
M16,6/4 Bridge-2,39.1.00,,,
M17,6/4 Bridge-3,41.1.00,,,
M18,2/4 Fill pre-solo,43.1.00,,,
M19,9/4 solo-1,44.1.00,,,
M20,9/4 Solo-2,45.1.00,,,
M21,9/4 Solo-3,46.1.00,,,
M22,9/4 Solo-4,47.1.00,,,
M23,9/4 Solo-5,48.1.00,,,
M24,9/4 Solo-6,49.1.00,,,
M25,4/4 Sospeso,50.1.00,,,
M26,2/4 Fill,53.1.00,,,
M27,Chorus 3-1,54.1.00,,,
M28,Chorus 3-3,58.1.00,,,
M29,6/4 Finale-1,62.1.00,,,
M30,6/4 Finale-2,64.1.00,,,
M31,6/4 Finale-3,66.1.00,,,
M32,6/4 Finale-4,68.1.00,,,
M33,6/4 Finale-4,70.1.00,,,
M34,6/4 Finale-5,72.1.00,,,
M35,6/4 Finale-6,74.1.00,,,
M36,2/4 Fill,76.1.00,,,
M37,9/4 End,77.1.00,,,
M38,,78.1.00,,,
R1,count-in,1.1.00,2.1.00,1.0.00,FFFF00
R2,intro 3,2.1.00,5.1.00,3.0.00,00FF00
R3,verse 2x4,5.1.00,14.1.00,9.0.00,FF8000
R4,Chorus1 2,14.1.00,19.1.00,5.0.00,FF0000
R5,Verse2 2x4,19.1.00,28.1.00,9.0.00,FF8000
R6,Chorus2 1x4,28.1.00,33.1.00,5.0.00,FF0000
R7,chorus 2 1x3,33.1.00,36.1.00,3.0.00,FF0000
R8,2+4 Bridge 4x6,36.1.00,43.1.00,7.0.00,00FFFF
R9,9/4 Solo 6,43.1.00,50.1.00,7.0.00,8000FF
R10,Sospeso 3,50.1.00,53.1.00,3.0.00,
R11,Chorus3 2x4,53.1.00,62.1.00,9.0.00,FF0000
R12,7x6,62.1.00,76.1.00,14.0.00,00FFFF
R13,9/4 End,76.1.00,78.1.00,2.0.00,8000FF
